event_time	duration_ms	read_rows	read_bytes	result_rows	query
2026-08-01 18:41:40	4	0	0	0	SELECT now64(6) as scrape_time_microseconds, \'j62zx3k\' AS pod_ident, \'boneaws-al-46\' AS spoken_name, \'cell-1\' AS cell, \'ap-south-1\' AS region, \'aws\' AS cloud_provider, \'?\' AS clickhouse_version, \'0fc3eaab-fbcb-4533-8825-9be9faaea781\' AS control_plane_id, \'?\' AS system_processor, * FROM system."crash
2026-08-01 18:41:40	42	6132	13441878	332	SELECT now64(6) as scrape_time_microseconds, \'j62zx3k\' AS pod_ident, \'boneaws-al-46\' AS spoken_name, \'cell-1\' AS cell, \'ap-south-1\' AS region, \'aws\' AS cloud_provider, \'?\' AS clickhouse_version, \'0fc3eaab-fbcb-4533-8825-9be9faaea781\' AS control_plane_id, \'?\' AS system_processor, * FROM system."query
2026-08-01 18:41:40	7	157	38149	157	SELECT             name,             value,             help,             JSONExtract(labels_serialized, \'Map(String, String)\') as labels,             type         FROM merge(system, \'^_custom_metrics_dictionary_.*\')         FORMAT Prometheus
2026-08-01 18:41:41	3	0	0	0	SELECT now64(6) as scrape_time_microseconds, \'j62zx3k\' AS pod_ident, \'boneaws-al-46\' AS spoken_name, \'cell-1\' AS cell, \'ap-south-1\' AS region, \'aws\' AS cloud_provider, \'?\' AS clickhouse_version, \'0fc3eaab-fbcb-4533-8825-9be9faaea781\' AS control_plane_id, \'?\' AS system_processor, * FROM system."click
2026-08-01 18:41:41	191	786	2145182	120	SELECT now64(6) as scrape_time_microseconds, \'j62zx3k\' AS pod_ident, \'boneaws-al-46\' AS spoken_name, \'cell-1\' AS cell, \'ap-south-1\' AS region, \'aws\' AS cloud_provider, \'?\' AS clickhouse_version, \'0fc3eaab-fbcb-4533-8825-9be9faaea781\' AS control_plane_id, \'?\' AS system_processor, * FROM system."metri
2026-08-01 18:41:41	17	457	6398	1	SELECT avg(ProfileEvent_OSCPUWaitMicroseconds) as cpu_wait FROM  system.metric_log  WHERE event_time > now() - INTERVAL 2 MINUTE AND event_date >= yesterday()
2026-08-01 18:41:41	4	2	10208	2	SELECT count() as count, sum(elapsed) as total_elapsed, \'lh\' as usr FROM system.processes  WHERE user = \'observability-internal\' AND client_hostname LIKE \'loghouse-scraper%\'  UNION ALL SELECT count() as count, sum(elapsed) as total_elapsed, \'other\' as usr FROM system.processes  WHERE user != \'observ
2026-08-01 18:41:41	1	887	368225	1	SELECT value FROM system.asynchronous_metrics WHERE metric = \'OSMemoryAvailable\' ;
2026-08-01 18:41:42	3	0	0	0	SELECT now64(6) as scrape_time_microseconds, \'j62zx3k\' AS pod_ident, \'boneaws-al-46\' AS spoken_name, \'cell-1\' AS cell, \'ap-south-1\' AS region, \'aws\' AS cloud_provider, \'?\' AS clickhouse_version, \'0fc3eaab-fbcb-4533-8825-9be9faaea781\' AS control_plane_id, \'?\' AS system_processor, * FROM system."backu
2026-08-01 18:41:42	3	1	5438	1	SELECT count() FROM system.processes WHERE (initial_user NOT IN _CAST([\'backups-internal\', \'management-internal\', \'monitoring-internal\', \'observability-internal\', \'operator-internal\', \'prometheus-exporter\', \'prometheus-internal\', \'operator-cert-internal\', \'availability-monitoring-internal\', \'\'], \'Ar
2026-08-01 18:41:42	3	76	1096	1	SELECT countIf(database = \'system\') as systemParts, countIf(database != \'system\') as nonSystemParts FROM system.parts where active
2026-08-01 18:41:42	2	0	0	1	SELECT countIf(database = \'system\') as systemMerges, countIf(database != \'system\') as nonSystemMerges FROM system.merges
2026-08-01 18:41:44	5	0	0	0	SELECT now64(6) as scrape_time_microseconds, \'j62zx3k\' AS pod_ident, \'boneaws-al-46\' AS spoken_name, \'cell-1\' AS cell, \'ap-south-1\' AS region, \'aws\' AS cloud_provider, \'?\' AS clickhouse_version, \'0fc3eaab-fbcb-4533-8825-9be9faaea781\' AS control_plane_id, \'?\' AS system_processor, * FROM system."async
2026-08-01 18:41:45	4	84	336	0	SELECT now64(6) as scrape_time_microseconds, \'j62zx3k\' AS pod_ident, \'boneaws-al-46\' AS spoken_name, \'cell-1\' AS cell, \'ap-south-1\' AS region, \'aws\' AS cloud_provider, \'?\' AS clickhouse_version, \'0fc3eaab-fbcb-4533-8825-9be9faaea781\' AS control_plane_id, \'?\' AS system_processor, * FROM system."error
2026-08-01 18:41:45	10	8201	2434013	378	SELECT now64(6) as scrape_time_microseconds, \'j62zx3k\' AS pod_ident, \'boneaws-al-46\' AS spoken_name, \'cell-1\' AS cell, \'ap-south-1\' AS region, \'aws\' AS cloud_provider, \'?\' AS clickhouse_version, \'0fc3eaab-fbcb-4533-8825-9be9faaea781\' AS control_plane_id, \'?\' AS system_processor, * FROM system."blob_
2026-08-01 18:41:45	15	7300	3944344	159	SELECT now64(6) as scrape_time_microseconds, \'j62zx3k\' AS pod_ident, \'boneaws-al-46\' AS spoken_name, \'cell-1\' AS cell, \'ap-south-1\' AS region, \'aws\' AS cloud_provider, \'?\' AS clickhouse_version, \'0fc3eaab-fbcb-4533-8825-9be9faaea781\' AS control_plane_id, \'?\' AS system_processor, * FROM system."part_
2026-08-01 18:41:45	145	3262660	52308454	105027	SELECT now64(6) as scrape_time_microseconds, \'j62zx3k\' AS pod_ident, \'boneaws-al-46\' AS spoken_name, \'cell-1\' AS cell, \'ap-south-1\' AS region, \'aws\' AS cloud_provider, \'?\' AS clickhouse_version, \'0fc3eaab-fbcb-4533-8825-9be9faaea781\' AS control_plane_id, \'?\' AS system_processor, * FROM system."async
2026-08-01 18:41:46	4	0	0	0	SELECT now64(6) as scrape_time_microseconds, \'j62zx3k\' AS pod_ident, \'boneaws-al-46\' AS spoken_name, \'cell-1\' AS cell, \'ap-south-1\' AS region, \'aws\' AS cloud_provider, \'?\' AS clickhouse_version, \'0fc3eaab-fbcb-4533-8825-9be9faaea781\' AS control_plane_id, \'?\' AS system_processor, * FROM system."zooke
2026-08-01 18:41:46	25	27763	6327999	16418	SELECT now64(6) as scrape_time_microseconds, \'j62zx3k\' AS pod_ident, \'boneaws-al-46\' AS spoken_name, \'cell-1\' AS cell, \'ap-south-1\' AS region, \'aws\' AS cloud_provider, \'?\' AS clickhouse_version, \'0fc3eaab-fbcb-4533-8825-9be9faaea781\' AS control_plane_id, \'?\' AS system_processor, * FROM system."text_
2026-08-01 18:41:47	4	0	0	0	SELECT now64(6) as scrape_time_microseconds, \'j62zx3k\' AS pod_ident, \'boneaws-al-46\' AS spoken_name, \'cell-1\' AS cell, \'ap-south-1\' AS region, \'aws\' AS cloud_provider, \'?\' AS clickhouse_version, \'0fc3eaab-fbcb-4533-8825-9be9faaea781\' AS control_plane_id, \'?\' AS system_processor, * FROM system."s3que
2026-08-01 18:41:48	86	0	0	0	SELECT now64(6) as scrape_time_microseconds, \'j62zx3k\' AS pod_ident, \'boneaws-al-46\' AS spoken_name, \'cell-1\' AS cell, \'ap-south-1\' AS region, \'aws\' AS cloud_provider, \'?\' AS clickhouse_version, \'0fc3eaab-fbcb-4533-8825-9be9faaea781\' AS control_plane_id, \'?\' AS system_processor, * FROM system."query
2026-08-01 18:41:50	7	157	38149	157	SELECT             name,             value,             help,             JSONExtract(labels_serialized, \'Map(String, String)\') as labels,             type         FROM merge(system, \'^_custom_metrics_dictionary_.*\')         FORMAT Prometheus
2026-08-01 18:41:52	3	2	12834	1	SELECT count() FROM system.processes WHERE (initial_user NOT IN _CAST([\'backups-internal\', \'management-internal\', \'monitoring-internal\', \'observability-internal\', \'operator-internal\', \'prometheus-exporter\', \'prometheus-internal\', \'operator-cert-internal\', \'availability-monitoring-internal\', \'\'], \'Ar
2026-08-01 18:41:52	2	77	1111	1	SELECT countIf(database = \'system\') as systemParts, countIf(database != \'system\') as nonSystemParts FROM system.parts where active
2026-08-01 18:41:52	28	3169	594636	123	SELECT CAST(\'0fc3eaab-fbcb-4533-8825-9be9faaea781\', \'UUID\') AS instance_id, CAST(\'c-boneaws-al-46-server-j62zx3k-0\', \'LowCardinality(String)\') AS node_id, CAST(name, \'LowCardinality(String)\') AS metric, CAST(mapFilter((k, v) -> has(_CAST([\'remote\'], \'Array(String)\'), k), labels), \'Map(LowCardinality
2026-08-01 18:41:52	2	0	0	1	SELECT countIf(database = \'system\') as systemMerges, countIf(database != \'system\') as nonSystemMerges FROM system.merges
2026-08-01 18:41:53	4	0	0	0	SELECT now64(6) as scrape_time_microseconds, \'j62zx3k\' AS pod_ident, \'boneaws-al-46\' AS spoken_name, \'cell-1\' AS cell, \'ap-south-1\' AS region, \'aws\' AS cloud_provider, \'?\' AS clickhouse_version, \'0fc3eaab-fbcb-4533-8825-9be9faaea781\' AS control_plane_id, \'?\' AS system_processor, * FROM system."aggre
2026-08-01 18:41:54	5	0	0	0	SELECT now64(6) as scrape_time_microseconds, \'j62zx3k\' AS pod_ident, \'boneaws-al-46\' AS spoken_name, \'cell-1\' AS cell, \'ap-south-1\' AS region, \'aws\' AS cloud_provider, \'?\' AS clickhouse_version, \'0fc3eaab-fbcb-4533-8825-9be9faaea781\' AS control_plane_id, \'?\' AS system_processor, * FROM system."query
2026-08-01 18:41:54	7	157	38149	157	SELECT             name,             value,             help,             JSONExtract(labels_serialized, \'Map(String, String)\') as labels,             type         FROM merge(system, \'^_custom_metrics_dictionary_.*\')         FORMAT Prometheus
2026-08-01 18:41:54	2	6	2128	6	             SELECT                 name,                 toJSONString(labels) as labels_serialized,                 value,                 help,                 type             FROM (                 SELECT   concat(\'clickhouse_\', system.dimensional_metrics.metric) AS name,   toFloat64(system.dime
2026-08-01 18:41:54	2	0	0	1	             SELECT                 name,                 toJSONString(labels) as labels_serialized,                 value,                 help,                 type             FROM (                 SELECT   \'ClickHouse_CustomMetric_TotalMemoryUsedByMerges\' AS name,   toFloat64(SUM(memory_usage))
2026-08-01 18:41:54	2	0	0	0	             SELECT                 name,                 toJSONString(labels) as labels_serialized,                 value,                 help,                 type             FROM (                 SELECT   \'ClickHouse_CustomMetric_FailedMutations\' as name,   toFloat64(count()) as value,   \'The 
